PID,QID,Degree of Explanation
P001,Q1,Succinct
P001,Q2,Succinct
P001,Q3,Under-explained
P001,Q4,Under-explained
P001,Q5,Succinct
P001,Q6,Succinct
P001,Q7,Comprehensive
P001,Q8,Succinct
P001,Q9,Over-explained
P001,Q10,Succinct
P002,Q1,Succinct
P002,Q2,Succinct
P002,Q3,Comprehensive
P002,Q4,Succinct
P002,Q5,Comprehensive
P002,Q6,Succinct
P002,Q7,Under-explained
P002,Q8,Succinct
P003,Q1,Under-explained
P003,Q2,Succinct
P003,Q3,Succinct
P003,Q4,Comprehensive
P003,Q5,Succinct
P003,Q6,Succinct
P003,Q7,Under-explained
P003,Q8,Succinct
P003,Q9,Succinct
P003,Q10,Comprehensive
P003,Q11,Succinct
P004,Q1,Under-explained
P004,Q2,Succinct
P004,Q3,Over-explained
P004,Q4,Under-explained
P004,Q5,Succinct
P004,Q6,Over-explained
P004,Q7,Succinct
P004,Q8,Comprehensive
P005,Q1,Succinct
P005,Q2,Comprehensive
P005,Q3,Comprehensive
P005,Q4,Comprehensive
P005,Q5,Comprehensive
P005,Q6,Succinct
P005,Q7,Succinct
P005,Q8,Comprehensive
P005,Q9,Succinct
P006,Q1,Comprehensive
P006,Q2,Comprehensive
P006,Q3,Under-explained
P006,Q4,Over-explained
P006,Q5,Comprehensive
P006,Q6,Comprehensive
P006,Q7,Under-explained
P006,Q8,Comprehensive
P006,Q9,Succinct
P007,Q1,Under-explained
P007,Q2,Over-explained
P007,Q3,Under-explained
P007,Q4,Comprehensive
P007,Q5,Succinct
P007,Q6,Under-explained
P007,Q7,Succinct
P007,Q8,Succinct
P008,Q1,Succinct
P008,Q2,Comprehensive
P008,Q3,Over-explained
P008,Q4,Comprehensive
P008,Q5,Succinct
P008,Q6,Comprehensive
P008,Q7,Succinct
P008,Q8,Under-explained
P009,Q1,Succinct
P009,Q2,Over-explained
P009,Q3,Under-explained
P009,Q4,Succinct
P009,Q5,Succinct
P009,Q6,Succinct
P010,Q1,Succinct
P010,Q2,Over-explained
P010,Q3,Comprehensive
P011,Q1,Comprehensive
P011,Q2,Comprehensive
P011,Q3,Comprehensive
P011,Q4,Succinct
P012,Q1,Succinct
P012,Q2,Comprehensive
P012,Q3,Comprehensive
P013,Q1,Succinct
P013,Q2,Succinct
P013,Q3,Succinct
P014,Q1,Succinct
P014,Q2,Succinct
P014,Q3,Succinct
P014,Q4,Succinct
P014,Q5,Comprehensive
P014,Q6,Comprehensive
P014,Q7,Succinct
P015,Q1,Comprehensive
P015,Q2,Comprehensive
P015,Q3,Comprehensive
P015,Q4,Comprehensive
P015,Q5,Comprehensive
P015,Q6,Comprehensive
P015,Q7,Comprehensive
P015,Q8,Over-explained
P015,Q9,Comprehensive
P015,Q10,Comprehensive
P016,Q1,Comprehensive
P016,Q2,Comprehensive
