Type,Start,End,Transcript
BCV,0.564766,2.231635,"Veteran: It's going good. How? How's your morning going, sir?"
Q1,2.932294,21.331439,"Interviewer: Uh it's going Good. I am uh some due to some scheduling stuff I'm out on a Uh project. So hopefully, my Internet, signal and background noise and all that stuff uh holds through. So if there's any disturbances. Uh, I apologize for that."
BCV,22.09568,23.40474,"Veteran: That's ok I understand"
Q1,24.136567,48.733174,"Interviewer: So I I received your your resume here. Um, and I have a uh posting that looks like something that might be a good fit for you, so just want to kinda go through your resume. Go through your background um, and see if it might be a good fit if you don't mind. I have your resume in front of me. Do you mind? Just tell me a little bit about yourself. Kind of your background stuff."
A1,50.062181,56.212268,"Veteran: So my background uh is uh 14 years in the military"
A1,56.75584,57.695869,"Veteran: Uh I"
A1,58.031238,61.950936,"Veteran: Got all the way up to staff sargeant 6th rank"
A1,62.524429,67.631009,"Veteran: and so I have a little bit of an enjoyable skills in leading"
A1,68.138425,74.775981,"Veteran: um. A person just leading just the team, and then uh from team leader. They promoted me to. Uh"
A1,75.729724,79.888794,"Veteran: The whole shop and the platoon whole platoons 45 people"
A1,80.61688,81.230268,"Veteran: um,"
A1,82.284996,86.338094,"Veteran: but those were uh additional added tasks. Uh"
A1,87.068674,94.485432,"Veteran: Uh so those were tasks that I didn't have when I first got in. When I first got in I was uh communication repairs so"
A1,94.933006,98.770421,"Veteran: Uh so where all the smaller people uh work uh simple stuff"
A1,99.493521,102.233819,"Veteran: Nothing too crazy, nothing too high voltage"
A1,102.741235,103.35961,"Veteran: Um"
A1,104.087697,106.360473,"Veteran: I parlayed that into"
A1,106.793087,107.468811,"Veteran: uh"
A1,108.76291,116.006373,"Veteran: uh trade school to get my uh my Epa license. So"
A1,116.910248,118.850149,"Veteran: in doing so. Uh,"
A1,119.507173,123.438092,"Veteran: I did get a job through HVAC work but uh"
A1,123.793408,128.487322,"Veteran: But uh for health concerns I didn't continue in the HVAC field"
A1,129.340081,132.76857,"Veteran: Just because in the military I had a couple of uh"
A1,134.657356,146.765535,"Veteran: uh issues with uh heat stroke or heat a heat exhaustion, You know my body couldn't take it. And so I know two instances that happened when I was out in the field, and then"
A1,147.377676,151.358464,"Veteran: the last of which was actually having to be hospitalized"
A1,151.693833,153.083929,"Veteran: I was inside of a"
A1,154.637347,156.31,"Veteran: an attic space uh"
A1,157.206844,161.197606,"Veteran: if you've ever been in the attic space in the summer time. It it's not, It's not that great."
BCI,163.980293,165.495062,"Interviewer: Especially in Texas"
A1,165.994998,168.641792,"Veteran: Well, all all of this was actually in California"
Q2,168.656752,170.788649,"Interviewer: I was gonna say or California as well"
Q2,172.775927,185.367834,"Interviewer: um. If you don't mind me asking um, is that due to um any kind of underlying um health complications. Or is that just uh due to"
Q2,185.988702,195.248117,"Interviewer: the the heat, and maybe didn't have enough water or food that day when you were working, and that the conditions were tough or or do you have an underlying medical condition?"
A2,195.447593,199.230152,"Veteran: I do not have an underlying medical condition I just uh"
A2,200.344723,201.113951,"Veteran: Well, I mean"
A2,201.837051,203.985156,"Veteran: anytime that you do have, like,"
A2,204.674594,211.546533,"Veteran: you know, heat exhaustion to where it gets to the point of heat stroke. Your body can't um make heat anymore I'm not sure how familiar you are with that"
A2,211.77219,213.648509,"Veteran: So I think uh"
A2,214.598513,219.278712,"Veteran: with the other two uh experiences while I was in the military, you know."
A2,220.218742,227.517061,"Veteran: Just push through, you know you get more water, maybe. Take take a nap, whatever you know um, and then you're ready to go out"
A2,228.207746,231.929216,"Veteran: uh back on the fuel. That's military standpoint, right?"
A2,233.298118,234.239394,"Veteran: And uh"
A2,234.900158,244.187001,"Veteran: for this specific uh job that I was in this last time when I had to get hospitalized. What it was was that I had uh my kidneys were drya, so it was a small acute kidney injury."
A2,244.725585,264.489893,"Veteran: Um is what my doctor told me, and um, he said, that the beauty of our kidneys is that they repair themselves. So all I need was uh some fluids quite a substantial amount. That's how that's how dehydrated I was uh so"
A2,264.837729,265.38504,"Veteran: um!"
A2,266.222838,273.355343,"Veteran: They always joined us to keep on drinking water all the time in the military, and then, if you ever saw your uh,"
A2,273.912629,281.164819,"Veteran: Urine brown. That means there's something very medically wrong with you, and it got to that point uh"
A2,282.094875,286.326254,"Veteran: this last time. Um, so it wasn't it wasn't good um!"
A2,287.02,290.383093,"Veteran: And uh, now I would say that"
A2,291.070037,294.679302,"Veteran: with that being said and moving out here to Texas, you know."
A2,295.169264,295.934752,"Veteran: Uh,"
A2,296.886002,313.43501,"Veteran: I don't tolerate heat very well, so I will. I'll learn from a mistake of not drinking enough water. I think that's specific day I was I was dehydrated from the day before, because this was a two two day job. So I was in there the first day, and I felt fine,"
A2,313.957387,333.292821,"Veteran: and then I didn't rehydrate myself uh adequately, just because I thought that I was going to get enough water, but I didn't notice the symptoms, and then to start it all over again the next day. They just like cramping um everywhere, you know. Uh, I wanted them. They got to the point where uh"
A2,333.952338,335.414745,"Veteran: I was uh"
A2,336.354774,339.593762,"Veteran: vomiting the water that I was ingesting."
A2,340.266993,342.48242,"Veteran: Ah! And so also"
A2,343.28531,343.816414,"Veteran: I"
A2,346.246278,349.110002,"Veteran: almost blacked out. Uh, just because,"
A2,350.037564,358.082671,"Veteran: coming down the attic I went outside, and I was very relaxed, and I felt like very weak. There was no strength in my uh."
A2,359.042648,359.753281,"Veteran: my limbs"
A2,360.346721,371.367756,"Veteran: and at that point everything that I'd been told uh. When you black out you're probably not gonna wake up so uh I told myself hey hey you need to get up because otherwise you can't just like"
A2,372.47734,373.818815,"Veteran: You got one. You have a job to do,"
A2,374.844868,375.923284,"Veteran: and uh,"
A2,376.525452,378.54265,"Veteran: too, I mean, uh, you can't."
A2,380.187078,387.577655,"Veteran: Okay, You can't go out like this is what my my mentality was, you know. So I got up uh I went into uh"
A2,388.85056,389.627269,"Veteran: the"
A2,390.834097,393.449723,"Veteran: the van that we had but it on full AC."
A2,394.018229,408.725826,"Veteran: Uh took my boots off and kind of waited until I cooled off and then I went back inside and continued the work that I uh we ended up finishing the job. Uh what happened was that at the end of the day when I was driving back home"
A2,409.786787,410.957461,"Veteran: I didn't feel very well,"
A2,411.48,414.736279,"Veteran: and uh, I had to pull off to the side of the road."
A2,415.367122,415.950588,"Veteran: Um,"
A2,416.448031,430.107133,"Veteran: and then I began to throw up the rest of the water and I got weak so I uh I called an ambulance. They took me to the ER the ER they uh held me for a day and uh that was actually my uh."
A2,430.790338,432.340015,"Veteran: my uh"
A2,433.201501,446.148724,"Veteran: Um shocking eye opening realization that uh I don't think this is gonna happen for me if I'm having if my body is having that many difficulties uh after like uh"
A2,446.610012,450.853859,"Veteran: three months of being on the job, you know. This was three months after uh"
A2,451.711604,453.034378,"Veteran: working uh"
A2,454.010562,456.245938,"Veteran: out of straight out of the school. And um!"
Q3,457.789381,460.407501,"Interviewer: So is that um and then I'm here so uh"
Q3,460.870035,462.328702,"Interviewer: So is that um"
Q3,463.262497,466.769531,"Interviewer: Was that the Valley air conditioning?"
BCV,466.801945,467.432787,"Veteran: Yeah, that's who we were."
Q3,471.200386,474.970478,"Interviewer: All right. So you uh. So you finished up your uh"
Q3,476.905392,484.213685,"Interviewer: your um army experience. Thank you for your service. By the way, I meant to say that."
Q3,484.878189,489.993496,"Interviewer: Um. So finished up there, are you? Are you originally from the uh Southern California area?"
BCV,491.336217,493.380843,"Veteran: No, i'm actually um"
BCV,494.32586,500.350027,"Veteran: from fresno I was born and raised in the central valley"
Q3,500.711577,503.495511,"Interviewer: Got it cool so uh from there"
Q3,504.964151,513.879471,"Interviewer: did several tours in the Middle East. Um, and that's when you're kind of leading uh, is that what you're talking about? Leading a squad of"
Q3,514.535247,528.290347,"Interviewer: up to forty-five. Sorry if I don't have the right medical or not. Medical, uh I was not in the military myself, so uh, I have. I have uh several friends and coworkers that are,"
Q3,528.71922,537.049827,"Interviewer: you know, in your squad, and they're like It's not a squad. It's a battalian. I'm like I don't know the difference You know what i mean. I'm not."
A3,537.834016,540.364864,"Veteran: It's just the squad is more of a"
A3,541.94,552.117727,"Veteran: five, six people, you know, and a battalian would be like up up in the hundreds, you know. Yeah, So I wasn't quite as uh"
A3,553.727247,560.718872,"Veteran: ready to lead a battalion, you know. That's That's uh people higher up in. But I did. I was able to. Uh"
A3,562.046632,567.493567,"Veteran: um, I think uh, probably like fifty people, was the most that I was in charge of. So it was like my whole. Uh,"
