Type,Start,End,Transcript
IRR,0,11.08,"Interviewer: awesome well i'm hoping to kind of kick off and talk a little bit about about you and I are going to hear a bit about your background and kind of walk me may a little bit to kick us."
IRR,11.29,12.91,"Veteran: out, I was many coins as you do."
IRR,13.93,14.17,"Interviewer: It."
IRR,15.49,19.48,"Interviewer: it's my one military thing from that I brought into my office I."
IRR,19.63,19.87,"Interviewer: Have."
IRR,20.02,24.07,"Interviewer: A lot of colors and all that stuff, but this is easy to transport."
IRR,24.52,25.3,"Veteran: yeah yeah."
Q1,27.1,27.94,"Interviewer: Well okay so yeah."
Q1,28.39,33.28,"Interviewer: eager to hear a little bit more about you and your background, you have a very interesting background so."
A1,33.37,35.71,"Veteran: excited to hear more okay well."
A1,37.39,41.98,"Veteran: it's one of those things that people say tell me about yourself of where do you start and how far back, do you want to go."
A1,43.426673,44.020702,"Veteran: Umm"
A1,45.16,45.55,"Veteran: that's a."
A1,47.41,50.53,"Veteran: Hard word to start, I was born and raised in New England."
A1,51.555495,55.06,"Veteran: Umm Allegedly I was born in Connecticut I don't remember living there."
A1,55.447951,57.49,"Veteran: Umm But I was raised in Vermont."
A1,58.777642,64.03,"Veteran: Umm I hesitate say grow up because he generally grow up when you leave home and have to pay your own bills."
A1,64.45,72.28,"Veteran: yeah So when I was about 22 I went to Hawaii for what was supposed to be one semester, and that turned into 20 years."
A1,73.6,78.79,"Veteran: So I grew up I grew up there, because I had it on my own."
A1,79.615567,80.30339,"Veteran: Umm"
A1,82.21,87.31,"Veteran: And when you go somewhere exotic and they say don't marry the first rule you meet I probably should have taken that advice."
A1,88.6,92.74,"Veteran: But I have two daughters that were raised in Hawaii and."
A1,93.94,100.33,"Veteran: One of them lives not far from me in killing her husband's in the army, and she lives here."
A1,101.92,112.63,"Veteran: And yeah he's stationed at Fort hood so they live in killeen and they have a dog, I have an eight year old granddaughter and another granddaughter expected in June."
A1,114.46,122.11,"Veteran: yeah my other daughter is married and she's about to move from Pennsylvania Rhode island where he's working."
A1,123.85,124.21,"Veteran: So."
BCI,124.6,128.41,"Interviewer: Well ones close ones close session ones one yeah far away."
BCI,128.86,129.85,"Interviewer: yeah when i'm off."
A1,130.27,144.97,"Veteran: No, I just when I retired, which was this past August, I was in Ohio so it's about three hours, where she they were living in Pennsylvania, so I get to see them every now and then they'd come visit us, or we go visit them so."
Q2,145.18,147.67,"Interviewer: Great when you retire, did you retire."
Q2,149.08,150.97,"Interviewer: From Public Affairs was that what you would do."
A2,151.36,152.32,"Veteran: That was my last."
A2,152.68,160.54,"Veteran: Why did public affairs from about 97 until I retired I was our children infantry before that, because I didn't know existed."
A2,161.83,163.06,"Veteran: Until someone wasn't."
A2,163.45,173.05,"Veteran: In a dirty uniform in a in a tent and some officer with clean uniform walked in like what are your House you clean well I do public affairs which public affairs."
BCI,173.44,174.07,"Interviewer: And he told me that."
A2,174.55,178.03,"Veteran: Why am I wasting 123 GT score doing this, I mean."
BCI,178.57,179.8,"Interviewer: yeah the body."
A2,180.04,182.74,"Veteran: The body starts to sue you for malpractice after a while."
A2,183.55,186.79,"Veteran: There I get it and I never got deployed."
A2,188.59,190.36,"Veteran: until after I was in public affairs."
BCI,191.5,192.04,"Interviewer: Really."
A2,192.1,192.49,"Veteran: Okay."
A2,193.06,204.04,"Veteran: I was in combat arms for 16 years and I joined an 82 I would join the Vermont garden ED to I never went anywhere until 2002."
A2,205.36,216.25,"Veteran: And I went to Bosnia and Kosovo, and then 2003 with Iraq in 2009 was Iraq in 2017 with my last deployment."
Q3,217.42,218.24326,"Interviewer: I wouldn't."
Q3,219.1,222.01,"Interviewer: The first two were were you in we're in Baghdad."
A3,222.7,226.36,"Veteran: The first one, yes, we I was with a military history detachment."
A3,227.35,240.43,"Veteran: Okay, and we were assigned to cover the unit that was looking for weapons of mass destruction, so we covered that interviewed them and took a bunch of photos and brought some artifacts back, but the Hawaii army Museum has."
A3,241.51,256.42,"Veteran: My second time I was the media embed coordinator at Camp liberty and the third time I was just public affairs in charge of the combat camera it in Erbil in Kurdistan safest place to be in Rogers Kurdistan."
BCI,259.09,261.76,"Interviewer: I spent I spent some time at BBC and so."
BCI,262.06,264.43,"Interviewer: went over to the liberty to get."
BCI,264.52,267.88,"Interviewer: The good px and the good food so yeah."
A3,268.06,269.8,"Veteran: yeah we had a good, we had a good muscle."
A3,270.97,279.7,"Veteran: We should walk out to the mess hall and take the inevitable biscuits and throw it in the water, and a little stream there and watch the turtles donuts."
BCI,280.18,281.02,"Interviewer: The turtles and fish."
A3,281.74,283.57,"Veteran: Which is our daily ritual."
BCI,284.29,286.75,"Interviewer: that's so funny and then all the pallets of water behind."
A3,287.95,288.85,"Veteran: yeah awesome."
Q4,290.38,294.55,"Interviewer: Well, today, then we're going to talk about a library information specialist so i'm kind."
Q4,294.55,305.08,"Interviewer: Of curious about you know transition from PA O when how that's related to you know your time spent in a library and where you see some of the commonalities."
A4,305.86,307.66,"Veteran: Well, public affairs is about."
